nome,ruolo,squadra,punteggio,titolarita
Calvani,D,Frosinone,47,0.70
Comert,D,Torino,47,0.46
Gatti,D,Juventus,19.78,0.25
Ghilardi,D,Roma,13.2,0.16
Halhal,D,Venezia,47,0.42
Kabasele,D,Udinese,19.69,0.16
Mitaj,D,Genoa,47,0.23
Pongracic,D,Fiorentina,15.65,0.15
Smolcic,D,Como,5.3,0.15
Valenti,D,Parma,4.89,0.65
Walukiewicz,D,Sassuolo,6.91,0.73
Zanoli,D,Udinese,47,0.26
Zappa,D,Cagliari,47,0.27
Cande,D,Sassuolo,0.53,0.93
De Winter,D,Milan,18.72,0.31
Floriani Mussolini,D,Lazio,43,0.29
Britschgi,D,Parma,7.31,0.45
Carboni A,D,Monza,42,0.28
Estupinan,D,Milan,16.23,0.17
Kouadio,D,Monza,42,0.43
Provstgaard,D,Lazio,2.4,0.18
Rodriguez Ju,D,Cagliari,1.06,0.50
Akpoguma,D,Frosinone,41,0.26
Athekame,D,Milan,6.57,0.11
Cittadini,D,Frosinone,41,0.43
Hainaut,D,Venezia,41,0.17
Idrissi R,D,Cagliari,41,0.18
Joao Mario,D,Fiorentina,41,0.07
Kossounou,D,Atalanta,7.19,0.08
Ranieri L,D,Fiorentina,18.45,0.11
Schingtienne,D,Venezia,41,0.26
Troilo,D,Parma,9.78,0.26
Casale,D,Bologna,4.77,0.15
Sverko,D,Venezia,35,0.02
Lazzari,D,Lazio,6.36,0.13
Puczka,D,Genoa,34,0.19
Alhassane,D,Bologna,33,0.13
Biraghi,D,Torino,33,0.30
Helland,D,Bologna,33,0.08
Marin R,D,Napoli,33,0.18
Otoa,D,Genoa,0.53,0.11
Palma,D,Udinese,33,0.08
Pellegrini Lu,D,Lazio,6.11,0.07
Sabelli,D,Genoa,33,0.07
Van Der Brempt,D,Como,5.62,0.07
Diawara S,D,Milan,32,0.07
Ebosse,D,Udinese,32,0.06
Franjic,D,Venezia,32,0.11
Jean,D,Lecce,32,0.25
Sagrado,D,Venezia,32,0.07
Cuenca A,D,Como,22,0.19
Marianucci,D,Napoli,4.18,0.16
Bakoune,D,Monza,19,0.21
Cabal,D,Juventus,19,0.21
De Silvestri,D,Bologna,18.72,0.08
Ndaba,D,Lecce,19,0.23
Ndiaye,D,Parma,19,0.21
Patric,D,Lazio,6.36,0.07
Abankwah,D,Udinese,18,0.04
Carboni F,D,Parma,18,0.13
Corrado,D,Frosinone,18,0.13
Mazzocchi,D,Napoli,18,0.08
Mlacic,D,Udinese,1.06,0.05
Oyono J,D,Frosinone,18,0.20
Rugani,D,Juventus,3.44,0.12
Antov,D,Monza,17,0.10
Matturro,D,Genoa,17,0.05
Missori,D,Sassuolo,17,0.39
Ziolkowski,D,Roma,5.85,0.10
Amey,D,Frosinone,15,0.05
Gelli J,D,Frosinone,15,0.04
Goldaniga,D,Como,1.06,0.04
Gomes,D,Venezia,15,0.03
Perez M,D,Lecce,15,0.08
Pieragnolo,D,Sassuolo,15,0.18
Raterink,D,Cagliari,15,0.08
Paz N,C,Como,95,0.93
McTominay,C,Napoli,68.94,0.93
Calhanoglu,C,Inter,68.81,0.93
Orsolini,C,Bologna,92,0.93
Pulisic,C,Milan,91,0.92
Rabiot,C,Milan,33.92,0.79
Baturina,C,Como,40.67,0.76
Atta,C,Fiorentina,30.47,0.84
Da Cunha,C,Como,34.62,0.70
Zaniolo,C,Udinese,82,0.79
Barella,C,Inter,34.62,0.74
McKennie,C,Juventus,29.98,0.74
Zaccagni,C,Lazio,80,0.92
De Bruyne,C,Napoli,79,0.84
Vlasic,C,Torino,27.86,0.89
Gudmundsson A,C,Fiorentina,75,0.79
Taylor K,C,Lazio,33.87,0.82
Conceicao,C,Juventus,18.43,0.79
Mastantuono,C,Fiorentina,43.63,0.76
Alajbegovic,C,Juventus,73,0.74
Ederson D.S,C,Atalanta,26.89,0.84
Modric,C,Milan,33.93,0.64
Rodriguez Je,C,Como,72,0.32
Samardzic,C,Atalanta,25.38,0.77
Zambo Anguissa,C,Napoli,72,0.69
Baldanzi,C,Genoa,17.26,0.75
Politano,C,Napoli,70,0.63
Rowe,C,Bologna,70,0.70
Casadei,C,Torino,18.15,0.68
Ekkelenkamp,C,Udinese,19.61,0.65
Kone M,C,Roma,69,0.93
Perrone,C,Como,21.55,0.57
Saelemaekers,C,Milan,26.21,0.61
Thorstvedt,C,Sassuolo,19.66,0.88
Thuram K,C,Juventus,17.31,0.64
Zielinski,C,Inter,21.46,0.65
Pellegrini Lo,C,Roma,24.41,0.75
Cancellieri,C,Lazio,66,0.62
Isaksen,C,Lazio,66,0.55
Mandragora,C,Fiorentina,27.24,0.57
Pasalic,C,Atalanta,18.37,0.74
Bernardeschi,C,Bologna,65,0.35
Diouf,C,Inter,24.67,0.65
Kone I,C,Sassuolo,65,0.59
Cristante,C,Roma,22.26,0.90
Locatelli,C,Juventus,23.03,0.42
Sucic P,C,Inter,26.02,0.36
Vergara,C,Napoli,22.74,0.40
Cambiaghi,C,Bologna,63,0.65
Colpani,C,Monza,63,0.93
Fagioli,C,Fiorentina,25.26,0.26
Ndour,C,Fiorentina,19.42,0.38
