nome,ruolo,squadra,punteggio,titolarita
Walukiewicz,D,Sassuolo,47,0.73
Zanoli,D,Udinese,47,0.26
Zappa,D,Cagliari,47,0.27
Cande,D,Sassuolo,43,0.93
De Winter,D,Milan,43,0.31
Floriani Mussolini,D,Lazio,43,0.29
Britschgi,D,Parma,42,0.45
Carboni A,D,Monza,42,0.28
Estupinan,D,Milan,42,0.17
Kouadio,D,Monza,42,0.43
Provstgaard,D,Lazio,42,0.18
Rodriguez Ju,D,Cagliari,42,0.50
Akpoguma,D,Frosinone,41,0.26
Athekame,D,Milan,41,0.11
Cittadini,D,Frosinone,41,0.43
Hainaut,D,Venezia,41,0.17
Idrissi R,D,Cagliari,41,0.18
Joao Mario,D,Fiorentina,41,0.07
Kossounou,D,Atalanta,41,0.08
Ranieri L,D,Fiorentina,41,0.11
Schingtienne,D,Venezia,41,0.26
Troilo,D,Parma,41,0.26
Casale,D,Bologna,40,0.15
Sverko,D,Venezia,35,0.02
Lazzari,D,Lazio,34,0.13
Puczka,D,Genoa,34,0.19
Alhassane,D,Bologna,33,0.13
Biraghi,D,Torino,33,0.30
Helland,D,Bologna,33,0.08
Marin R,D,Napoli,33,0.18
Otoa,D,Genoa,33,0.11
Palma,D,Udinese,33,0.08
Pellegrini Lu,D,Lazio,33,0.07
Sabelli,D,Genoa,33,0.07
Van Der Brempt,D,Como,33,0.07
Diawara S,D,Milan,32,0.07
Ebosse,D,Udinese,32,0.06
Franjic,D,Venezia,32,0.11
Jean,D,Lecce,32,0.25
Sagrado,D,Venezia,32,0.07
Cuenca A,D,Como,22,0.19
Marianucci,D,Napoli,20,0.16
Bakoune,D,Monza,19,0.21
Cabal,D,Juventus,19,0.21
De Silvestri,D,Bologna,19,0.08
Ndaba,D,Lecce,19,0.23
Ndiaye,D,Parma,19,0.21
Patric,D,Lazio,19,0.07
Abankwah,D,Udinese,18,0.04
Carboni F,D,Parma,18,0.13
Corrado,D,Frosinone,18,0.13
Mazzocchi,D,Napoli,18,0.08
Mlacic,D,Udinese,18,0.05
Oyono J,D,Frosinone,18,0.20
Rugani,D,Juventus,18,0.12
Antov,D,Monza,17,0.10
Matturro,D,Genoa,17,0.05
Missori,D,Sassuolo,17,0.39
Ziolkowski,D,Roma,17,0.10
Amey,D,Frosinone,15,0.05
Gelli J,D,Frosinone,15,0.04
Goldaniga,D,Como,15,0.04
Gomes,D,Venezia,15,0.03
Perez M,D,Lecce,15,0.08
Pieragnolo,D,Sassuolo,15,0.18
Raterink,D,Cagliari,15,0.08
Paz N,C,Como,95,0.93
McTominay,C,Napoli,94,0.93
Calhanoglu,C,Inter,93,0.93
Orsolini,C,Bologna,92,0.93
Pulisic,C,Milan,91,0.92
Rabiot,C,Milan,87,0.79
Baturina,C,Como,84,0.76
Atta,C,Fiorentina,82,0.84
Da Cunha,C,Como,82,0.70
Zaniolo,C,Udinese,82,0.79
Barella,C,Inter,81,0.74
McKennie,C,Juventus,80,0.74
Zaccagni,C,Lazio,80,0.92
De Bruyne,C,Napoli,79,0.84
Vlasic,C,Torino,77,0.89
Gudmundsson A,C,Fiorentina,75,0.79
Taylor K,C,Lazio,75,0.82
Conceicao,C,Juventus,74,0.79
Mastantuono,C,Fiorentina,74,0.76
Alajbegovic,C,Juventus,73,0.74
Ederson D.S,C,Atalanta,73,0.84
Modric,C,Milan,73,0.64
Rodriguez Je,C,Como,72,0.32
Samardzic,C,Atalanta,72,0.77
Zambo Anguissa,C,Napoli,72,0.69
Baldanzi,C,Genoa,70,0.75
Politano,C,Napoli,70,0.63
Rowe,C,Bologna,70,0.70
Casadei,C,Torino,69,0.68
Ekkelenkamp,C,Udinese,69,0.65
Kone M,C,Roma,69,0.93
Perrone,C,Como,69,0.57
Saelemaekers,C,Milan,69,0.61
Thorstvedt,C,Sassuolo,69,0.88
Thuram K,C,Juventus,69,0.64
Zielinski,C,Inter,69,0.65
Pellegrini Lo,C,Roma,68,0.75
Cancellieri,C,Lazio,66,0.62
Isaksen,C,Lazio,66,0.55
Mandragora,C,Fiorentina,66,0.57
Pasalic,C,Atalanta,66,0.74
Bernardeschi,C,Bologna,65,0.35
Diouf,C,Inter,65,0.65
Kone I,C,Sassuolo,65,0.59
Cristante,C,Roma,64,0.90
Locatelli,C,Juventus,64,0.42
Sucic P,C,Inter,64,0.36
Vergara,C,Napoli,64,0.40
Cambiaghi,C,Bologna,63,0.65
Colpani,C,Monza,63,0.93
Fagioli,C,Fiorentina,63,0.26
Ndour,C,Fiorentina,63,0.38
Odgaard,C,Bologna,63,0.57
Bernabe,C,Parma,62,0.89
Calo,C,Frosinone,61,0.83
Gaetano,C,Atalanta,61,0.68
Oristanio,C,Torino,61,0.67
Unai Gomez,C,Udinese,61,0.55
Volpato,C,Sassuolo,61,0.75
Fazzini,C,Cagliari,60,0.84
Ferguson,C,Bologna,60,0.26
Frendrup,C,Genoa,60,0.72
Lobotka,C,Napoli,60,0.23
Pessina,C,Monza,60,0.91
Frattesi,C,Inter,59,0.14
Sow,C,Genoa,59,0.55
Liberali,C,Como,58,0.27
Zalewski,C,Atalanta,58,0.46
Akinsanmiro,C,Monza,57,0.84
Basic,C,Venezia,57,0.88
Caqueret,C,Como,57,0.18
Ellertsson,C,Genoa,57,0.72
Karlstrom,C,Udinese,57,0.37
Nicolussi Caviglia,C,Parma,57,0.65
Oulai,C,Fiorentina,57,0.20
Pierotti,C,Lecce,57,0.81
Rovella,C,Lazio,57,0.36
Zhegrova,C,Juventus,57,0.26
Adopo,C,Cagliari,56,0.69
Coulibaly L,C,Lecce,56,0.63
Pobega,C,Bologna,56,0.18
Winks,C,Cagliari,56,0.75
Chukwueze,C,Milan,55,0.19
Fofana Y,C,Milan,55,0.42
Cacciamani,C,Torino,54,0.60
Mkhitaryan,C,Inter,54,0.28
Ondrejka,C,Parma,54,0.68
Pisilli,C,Roma,54,0.52
Adzic,C,Sassuolo,53,0.30
Bakola,C,Sassuolo,53,0.66
Berisha M,C,Lecce,53,0.78
Busio,C,Venezia,53,0.79
Dele-Bashiru,C,Lazio,53,0.25
Gandelman,C,Lecce,53,0.65
Gineitis,C,Torino,53,0.34
Keita M,C,Parma,53,0.58
Koopmeiners,C,Juventus,53,0.18
Matic,C,Sassuolo,53,0.43
Meichtry,C,Genoa,53,0.44
Milla,C,Como,53,0.11
Perez K,C,Venezia,53,0.71
Piotrowski,C,Udinese,53,0.25
Sohm,C,Venezia,53,0.76
Zerbin,C,Frosinone,53,0.68
Addai,C,Como,52,0.07
Amondarain,C,Bologna,52,0.12
Felici,C,Cagliari,52,0.41
Romano,C,Cagliari,52,0.68
Traore Hj,C,Genoa,52,0.28
El Aynaoui,C,Roma,50,0.89
Almavist,C,Parma,49,0.42
Fitz-Jim,C,Torino,49,0.27
Luis Henrique,C,Inter,49,0.13
Amorim,C,Genoa,48,0.22
Cataldi,C,Lazio,48,0.19
Cichella,C,Frosinone,48,0.62
De Roon,C,Atalanta,48,0.31
Douglas Luiz,C,Juventus,48,0.13
Folorunsho,C,Napoli,48,0.15
Jashari,C,Milan,48,0.11
Koutsoupias,C,Frosinone,48,0.69
Loftus-Cheek,C,Milan,48,0.08
Moro N,C,Bologna,48,0.09
Ngom,C,Lecce,48,0.43
Ricci S,C,Milan,48,0.16
lIkhan,C,Torino,48,0.12
Fabbian,C,Fiorentina,47,0.11
Miller L,C,Udinese,47,0.93
Prati,C,Cagliari,47,0.20
Diallo O,C,Parma,43,0.23
Miretti,C,Juventus,43,0.10
Njie,C,Torino,43,0.21
Sorensen O,C,Parma,43,0.32
Stankovic A,C,Inter,43,0.09
Deiola,C,Cagliari,42,0.34
Dominguez B,C,Bologna,42,0.07
Fini,C,Frosinone,42,0.43
Gelli F,C,Frosinone,42,0.29
Gilmour,C,Napoli,42,0.12
Messias,C,Genoa,42,0.15
Brescianini,C,Fiorentina,41,0.08
Colombo L,C,Monza,41,0.74
Helgason,C,Venezia,41,0.43
Sulemana I,C,Atalanta,41,0.19
Aboukhlal,C,Torino,40,0.07
Boloca,C,Sassuolo,33,0.20
Chakvetadze,C,Udinese,33,0.18
Ciurria,C,Monza,33,0.56
Hasa,C,Frosinone,33,0.20
Lipani,C,Sassuolo,33,0.14
Maleh,C,Lecce,33,0.29
Musah,C,Milan,33,0.06
Ordonez C,C,Parma,33,0.12
Venturino,C,Genoa,33,0.11
Duncan,C,Venezia,32,0.29
El Azzouzi O,C,Bologna,32,0.05
Masini,C,Genoa,32,0.07
Fadera,C,Como,31,0.04
Belahyane,C,Lazio,20,0.17
Przyborek,C,Lazio,20,0.12
Anjorin,C,Torino,19,0.06
Camara A,C,Udinese,19,0.09
Cremaschi,C,Parma,19,0.10
El Azzouzi A,C,Frosinone,19,0.15
Gorter,C,Lecce,19,0.23
Kone B,C,Frosinone,19,0.11
Zarraga,C,Udinese,19,0.14
llic,C,Torino,19,0.08
Kaba,C,Lecce,17,0.13
Dagasso,C,Venezia,15,0.14
Fofana Sa,C,Lecce,15,0.06
Lahdo,C,Como,15,0.03
Liteta,C,Cagliari,15,0.10
lannoni,C,Sassuolo,15,0.06
Martinez L,A,Inter,95,0.85
Malen,A,Roma,94,0.89
Thuram,A,Inter,91,0.75
Hojlund,A,Napoli,90,0.88
Ramos G,A,Milan,89,0.86
Kolo Muani,A,Juventus,88,0.80
Kean,A,Fiorentina,87,0.93
Yildiz,A,Juventus,86,0.73
Douvikas,A,Como,83,0.93
Davis K,A,Udinese,81,0.93
Scamacca,A,Atalanta,81,0.77
Berardi,A,Sassuolo,80,0.80
Leao,A,Milan,80,0.68
De Ketelaere,A,Atalanta,79,0.68
Krstovic,A,Atalanta,79,0.31
Dovbyk,A,Bologna,77,0.93
Esposito F.P,A,Inter,77,0.29
Lauriente,A,Sassuolo,76,0.70
Pellegrino M,A,Parma,76,0.87
Simeone,A,Torino,76,0.91
Castro S,A,Roma,74,0.61
Dybala,A,Roma,74,0.27
